comment,label
"La clase es tan inútil que es ridícula. Actualmente estoy en la clase (solo porque es obligatoria). La clase no tiene relevancia en nada de la vida. Rand es un ****, la clase es tan aburrida. Podría hacer la clase mucho mejor, escribiendo trabajos que tengan sentido para ellos en lugar de lo que algunos filósofos dijeron. Leer del libro de texto es difícil!!",critical
Profesor horrible. No cree en A’s. Cree que otros profesores calientan demasiado fácil. Respuestas tus preguntas con preguntas que no te ayudan. Te enseña material irrelevante que nunca usarás. Profesor peor que nunca tengo.,low
"La mejor profesora/profesor es terrible. Le hizo preguntas personales que me incomodaron, me hizo sentir estúpido cuando le preguntaba, y en general me desanimó. No tomes el curso 125 de inglés.",critical
"Lo asistencia a su curso de Negocios y Escritura Técnica lo humilla para que no entiendan las asignaciones cuando piden ayuda. Es muy egocéntrico y grosero con quienes necesitan ayuda, y el trabajo es muy difícil, incluso para quienes siguen las indicaciones. Recomiendo esperar para tomar este curso de cualquiera que no sea yo. No vale la pena perder puntos de tu GPA.",critical
"Fue un evaluador muy duro, pero evaluó el progreso a lo largo del semestre, no en la perfección de un estudiante (en realidad, lo evaluó en el nivel en que avanzabas). Aprendí mucho de él. Incluso estoy tomando su curso de inglés para el próximo. ¡Definitivamente, toma su curso si puedes!",good
"El profesor Steven Rand es muy confuso y califica muy duro. Si estás en sus clases de inglés, déjalo si quieres algo menos de una C. Le molesta mucho que los estudiantes fueran calificados demasiado fácilmente en la escuela secundaria, por eso, en respuesta a eso, prefiere fracasar a sus estudiantes.",low
"¡Es terrible! ¡Si lo dejas, ¡despídete INMEDIATAMENTE! Es malvado y un calbreak extremadamente difícil!",critical
Horrible.,low
"Lo siento, no podría darle un cero.",low
No bueno.,low
"Esta fue una clase difícil. Esperaba que todos los cursos de universidad fueran como esta, pero desde que la mayoría no lo son, fue refrescante tener a un profesorme impulsar tanto. Si estás dispuesto a poner en la mesa el trabajo para el Sr. Rand, te recompensarás con los beneficios. Si no, entonces toma este curso de alguien más.",good
"Es un profesor que es rebelde. Grava según cómo se siente que son tus ideas. Nunca hay una respuesta correcta, los trabajos siempre pueden mejorar. No recomendaría que lo use para nadie que quiera una calificación por encima de una C, incluso para conseguir que te ponga demasiado tiempo en cada trabajo.",low
"Él es confuso en cada aspecto: en clase, en trabajos y en criticar. Sus trabajos son aburridos y nunca cambian. Esperaba explorar la escritura y mejorar. Es un evaluador imposible, especialmente porque califica según cómo *siente* él sobre tus ideas, no en gramática o contenido. ¡MUY DESAPARECIDO!",low
"La peor profesora que he tenido en UND. Lo siento, no tengo un doctorado en inglés. El estilo de calificación es demasiado duro para un 125. Nadie en mi clase tiene un A. He dedicado 3 veces más horas a este curso que cualquier otro, pero aún así este curso es mi peor calificación. Si es posible, evite a esta profesora!",low
Experiencia terrible de mi vida. Espera demasiado por un curso de nivel 100. Toma este curso si quieres pasar 15 horas en un trabajo de 3 páginas y aún obtener una nota C-. políticas de calificación ridículas.,low
"Como mucho de lo que es, el hizo un trabajo decente para mantener las cosas interesantes. Evita usar UNIV 101 en absoluto si puedes.",good
"Sus expectativas son altas para una clase de nivel universitario requerido, especialmente porque la mayoría de los estudiantes no son estudiantes de inglés. Por su parte, es inteligente y da buenas críticas. No recomendaría que fuera para un estudiante universitario de primer año.",good
"Solo Steven Rand es un chiste! y tan increíblemente torpe socialmente! No tomes este curso a menos que te guste salir de la universidad! Te da indicaciones para un trabajo de la que no vas a llegar, y tu calificación no tiene sentido, y nadie ha recibido un A en un de sus cursos hasta ahora.... si no crees en mí, te dirá esto.",critical
"Solo luché en su clase. Primero, es abogado, así que te hará pensar en que no te va a dar nada. Segundo, te dará alrededor de 20 instrucciones en un papel y lo calificará según cómo se sienta. Clase mala, trabajé tanto y conseguí una B, pero me dijo que tenía “escritura débil.” Evítalo!",low
"Hola, no seas así. Sí, es difícil de entender, y un grader muy duro, pero es un profesor y al menos está haciendo su trabajo (por supuesto, que todos, incluyendo yo, le gustaría clases más fáciles y comprensibles) solo que esté agradecido por que esté dispuesto a aceptar a todos los que bullen, esperando que le haya ayudado a al menos a un estudiante mejorar en literatura.",good
"Stevevn Rand fue el profesor más malo que he tenido en mi vida. Es, sin duda, el profesor más difícil que puedes tomar en cualquier clase de inglés. También califica extremadamente duro, y no al nivel de una A. Además, Steven Rand hace que todos a su alrededor se sientan extremadamente incómodos.",critical
"Esta es la clase más difícil de 100 niveles en la historia. No importa cuánto dediques tu vida a esta clase, aún no obtendrás una A! Tómala en otro semestre o con un profesor diferente. Sus indicaciones son confusas. Va en contra de todo lo que el libro dice, pero te dice que uses el libro. Es confuso, un grader difícil y un tipo diferente. ¡NO TE ABANDON!",low
"Estoy actualmente en esta clase. Tomé esta porque me dijeron que era más fácil que 120.  Lo lamento estar en esta clase con Rand como mi profesor. Es amable y bastante inteligente, pero su calificación es ridícula. Es el estudiante más difícil que he encontrado. ¡NO tomesle, si estás tomando esta clase como un curso general, escúchate!",low
"Solo devolví 125 porque se decía que era más fácil que 120, a menos que tengas un profesor específico. Bueno, esto es ese profesor. Es un tipo agradable, pero espera la perfección y está fuera de la realidad. La clase es aburrida y difícil, y el libro es caro. La primera tarea fue de 3-4 páginas, y la última tarea será de 15 con cada una entre ellas, aumentando en tamaño. NO lo recomendaría.",low
"Esta fue, sin duda, la mejor experiencia de aprendizaje que he tenido en UND. Es un evaluador muy exigente, pero ayuda marcando tus trabajos con sugerencias serias. Siento que sus marcas a menudo se usan para ataques personales cuando solo intenta sacar el mejor de sus alumnos. Mis habilidades de escritura han mejorado un cien veces. Lo recomendaría a cualquiera.",good
"Debería haber leído estos comentarios antes de tomar este curso. Este fue, sin duda, el peor profesor que he tenido! Él me hace sentir como un imbécil y espera muchísimo para un nivel de 100. Trabajé mi trasero para obtener una B en el curso! Si puedes, por favor, cambia a otro profesor, te agradecerás que lo hayas hecho!! Él espera que todos sean magos de inglés!",critical
"Lo sugiero nunca tomarlo... leí los comentarios aquí, así que pensé que no sería tan malo, así que me quedé... mala decisión... confíeme... sale de la clase inmediatamente... sus instrucciones nunca eran claras y él te hizo escribir el trabajo, luego cambió su tarea, mi consejo para el grupo de escritores es que solo escribas basura porque vas a reescribirla en algún momento...",low
Sin comentarios,low
"Profesor horrible, tuve que salir del estado.  Odio mucho a esta persona.",critical
Fue un maestro muy injusto... Sugiero NO tomarlo!,low
"¡IMPOSIBLE! Si todavía queda la posibilidad de que se lo deje pasar... ¡Hazlo! No es posible obtener una nota superior a una C. Y para obtener una C, tienes que esforzarte al máximo!",low
"Creo que es un gran tipo para simplemente hablar de música y cosas divertidas fuera de la escuela, pero nunca responde a las preguntas que tienes y da como un par de ""B"" en la clase, y eso... sabes...",low
"¿Qué puedo decir sobre Rand...? Aquellos de los que odian mucho a alguien deberían estar muy afortunados de que no tuvieron que soportar su clase cinco días a la semana durante seis semanas, cada día y medio... DEBES SENTIR UN POCO DE SUERTE!",low
"Este hombre es el demonio atrapado en forma humana. Actualmente son las 2:42 a.m. del día anterior a este último trabajo y quiero tirarme los ojos. Si pudiera dar algún consejo a futuros estudiantes, lo recomendaría dejarlo lo antes posible y ahorrarte tiempo antes de la fecha de la caída, o prepararte para gastar 8 horas escribiendo trabajos para obtener una nota C-. ¡Odio a esta persona!",critical
"Imposible de superar cualquier cosa!!! Él te trata como si fueras un empleado de un programa de Rocket Science NASA o algo...  Guapo, pero un poco fuera de la realidad.",critical
"No, ¡suena...y quiere que fracases en la vida... aléjate... lejos...",critical
"Es imposible obtener buenas notas. Si obtienes una B, felicidades, creo que eres el primero. Es un evaluador injusto. Fui al centro de escritura cuando él revisó mi trabajo, hice todas las correcciones que me dijo y aún obtuve una C. Pasé demasiado tiempo en sus trabajos. ¡Si tienes el mismo, sal de ahora mismo!!!!!!",low
Nunca entendí qué pedía porque nunca me dijo qué quería que hiciera. Es un completo idiota.,critical
Imposible obtener una buena calificación.,low
"Que es muy difícil, espera demasiado.",low
"Él espera mucho de sus estudiantes, pero se toma el tiempo para conocer a todos. Sugiero que vayan a la biblioteca de escritura antes de pedirle ayuda, y suele sugerir eso también, así que prepárese para muchoaborrita.",good
"Ese tipo es muy agresivo. Solo hizo lo que quiso, me molestó cuando le pedí ayuda.",critical
¡Es una mierda!,critical
Lo odió... nunca nos enseñó a escribir.,low
Técnico/a ridículo/a... te mata con detalles idiotas.,low
"El curso es difícil, pero factible. Sr. Farm te ayudará, pero la clave de este curso es usar el centro de aprendizaje de matemáticas. Él es un profesor que quiere que apruebes, así que intenta ayudar en la mayor medida posible.",good
"Solo hay una tarea web que se da todos los días (muy consume tiempo y no te ayudan en los exámenes). Los tres exámenes que da, son extremadamente difíciles!, solo puedo decir que practicar... mucho. Obtuve una F en mi primer examen y tuve que obtener todas las demás para obtener una A general. Por último, el examen final te destruye, la chica que se sentaba junto a mí lloró durante ello.",low
"El Sr. Farm es una de las personas más amables que encontrarás. Las tareas de WebAssign se distribuyen cada día después de clase para practicar y un quiz suele aparecer cada día en clase. Haz muchas preguntas de práctica para las tres pruebas finales. Al final, él te hace entender los conceptos en lugar de solo memorizar problemas. Haz el trabajo, obtén una A.",good
"Los exámenes son difíciles porque nunca coincidían con las notas y las clases. En el examen final, tuvimos que obtener una calificación del 70% o no pasamos. Todo lo que crees que va a estar en el examen, no es. Espera que haya 4 horas de tarea a la semana. No recomendaría.",low
"El Sr. Farm es el mejor maestro de matemáticas que he tenido jamás. Es súper divertido y muy apasionado por lo que hace. Hay una prueba casi todos los días en clase, pero no es el fin del mundo si te pierdes una.",good
Toma este curso con un profesor diferente.,low
Responderán a todas tus preguntas. Y está dispuesto a dar una segunda oportunidad a tus alumnos para que pasen en el examen. Las preguntas de clase son fáciles!,good
"Stuart es entre los profesores más agradables que he tenido. Desafortunadamente, esto no tradujo en que fuera eficaz. Prepárate para muchísima tarea y quírselas a diario.",low
"Si tomas un curso con Stuart Farm, prepárate para pasar mucho tiempo fuera de clase en tareas, a menudo enseñándote tú mismo de forma desastrosa. Además, hay un cuestionario en clase casi todos los días, así que ¡adelante! La tarea es desafasyncrante y consumir mucho tiempo, pero los exámenes son mucho más fáciles, lo cual es bueno. No es el mejor para explicar el material, pero está bien.",low
"Profesor terrible en general. Me tuvo mal en mi primer año de universidad para matemáticas y me encontró de nuevo en mi segundo año, nada cambió, y quizás incluso se hizo peor.",low
"La persona es amable, pero es absolutamente terrible en matemáticas. Este curso está destinado a estudiantes por debajo del promedio en matemáticas, pero lo hace tan difícil. Yo mismo no soy bueno en matemáticas, y no me ayuda. Evítalo a toda costa.",low
"Tomé Math 92 y 93 en un semestre, fue muy rápido. Si te faltó algún clase, te quedarías atrás un tiempo. En general, era un buen profesor, creo que mucha gente no le gustó que estudiara a esa velocidad y, por lo tanto, le odiaron.",good
"El siguiente curso de interés, también fue el primer curso de matemáticas en la universidad. Fue muy difícil empezar con ello, extenso y con trabajo de casa nuevo en cada clase (webassign), Prepárate para hacerlos, con una sólida comprensión. La asistencia es vital. Los exámenes se basan en las tareas y ejemplos de clase.",low
"La granja tiene trabajo casi todas las noches, pero no es lo que no se pudo hacer rápidamente en la mayoría. Su último examen cubrió la mayor parte de los puntos de la clase, por lo que estudiar es obligatorio si quieres aprobar este curso.",low
"Si no muestras tu trabajo ni que revisaste tus respuestas, te dará una tarjeta de cero, incluso si respuestas correctamente. También no puedes saltar, porque en clase hacen práctica que revisas al final del curso.",low
Hombre muy amable. muy dispuesto a ayudar.,good
"Señor Farm es el hombre más amable que vas a encontrar. Sus ideas son fáciles de entender. Mientras prestes atención y te presentas, estarás bien.",good
"Aquí está la traducción: Solo es un poco raro, pero es un buen tipo que se preocupa. Aparece todos los días por puntos gratis. Se hacen casi todos los viernes preguntas (se convierten en preguntas de grupo al final del semestre). El test es muy similar a los cuestionarios. Trabajo casi cada día y es mucho más difícil que lo que verías en los cuestionarios/pruebas si pides extensiones, siempre te lo darán.",good
"Un poco raro, pero hace chistes malos todo el tiempo, pero de los mejores profesores de matemáticas que he tenido. Está apasionado por el tema y eso se ve. Dedica más tiempo a asegurarse de que sus estudiantes entiendan por qué hacen ciertos pasos, y para mí, fue útil en mi comprensión. Recomendado.",good
"Este curso es una verdadera tortura. Hasta ahora, hemos tenido más de 30 asignaciones (que valen solo el 20% de la calificación) que cada una tardan horas en completarse, porque Stuart pone muchos problemas que no hemos discutido en clase. Además, tenemos quizzes semanales exhaustivos que son inconsistentes en dificultad y puntos. Simplemente, me duele a ver a alguien tener que tomar este curso.",low
"No recomendaría este profesor si no eres fuerte en matemáticas. Deberías esperar hacer homework casi cada noche. Nueva tarea asignada después de cada clase. No da exámenes tradicionales, pero pruebas semanales por puntos. El libro de texto fue de poca ayuda. La tarea lleva horas para completar solo una pequeña parte del grado.",low
"El gran profesor de Stuart Farm, hasta ahora, ha sido el peor que he tenido. Gradesa demasiado, lo que es casi imposible obtener una incluso una C. (En un momento, tenía un 48%) (& Soy estudiante promedio A/B) Le da semanales de pruebas y le da tareas de estudio muy extensas. No lo recomendaría.",low
"Está siendo el peor profesor que he tenido en los últimos diez años. Se va muy overboard al intentar explicar las cosas, y cuando explica las cosas, no aparece en los exámenes ni en los cuestionarios. Hay muchos otros estudiantes en mi clase que no saben nada de lo que está pasando. No tomes ninguno de sus clases. Debes aprender las lecciones por ti mismo.",low
"El gran Stuart Farm es un hombre fantástico que se hace muy fácil de relacionarse. Lo saluda con una sonrisa cada día y está muy emocionado de verte cada día y trata de hacer que la clase sea divertida. Definitivamente, debes presentarte a él. Es confuso al explicar conceptos. Tende a explicar demasiado donde se vuelve confuso. Es una persona muy respetable.",good
"El Granja Stuart es un buen tipo y se preocupa por sus estudiantes, pero eso no resulta en una enseñanza efectiva o en mantener a la clase comprometida. No parece entender que los estudiantes que toman Math146 son los menos propensos a hacer gesto y contribuir, y no se puede tener una discusión con 100 personas. Para las calificaciones, observalo como un pájaro y envíale una nota en cuanto antes posible.",low
"El Sr. Farm es un buen profesor, pero no está del todo claro sobre los tipos de preguntas que necesitamos cubrir. Las tareas y las asignaciones en clase son mucho más difíciles que los exámenes reales.",low
"Está realmente desorientado, pero es un tipo realmente cool y divertido. Un poco difícil de entender, pero si lees el libro y vas a la recitación, no es tan malo.",good
Sólo regresa la traducción.,low
"Solo los apuntes se relacionan con los exámenes, ya que los exámenes son extremadamente difíciles. La mayoría de las respuestas son E, o cuando dice &quot;a o c&quot; normalmente es la respuesta. Es un tipo de persona amable y inteligente, pero es solo un maestro muy malo. Solo hay 2 exámenes y una final, así que tu calificación puede ser muy baja o muy alta.",low
"Está un tipo bastante raro/excéntrico, lo que hace que las clases sean un poco más tolerables, aunque difíciles de seguir y los apuntes de clase no tienen mucho sentido. Pero si eres bueno aprendiendo por tu cuenta del libro, probablemente lo harás bien (la cantidad de material no es abrumadora ni demasiado difícil de entender). Además, tiene una política de calificación muy justa.",good
"Me parece que Phil Graves recibe un mal trato. Es demasiado inteligente para enseñar clases básicas de economía a estudiantes universitarios despreocupados. Tiene problemas para contagiar entusiasmo por el tema a menos que ya esté interesado en él y las personas que lo critican están tratando de sacar provecho con una buena nota. Sin embargo, si presta atención a las clases o a las notas, un A es fácil de obtener. Me perdí muchas clases y recibí un A en dos diferentes cursos suyos. Él está a la vanguardia.",good
Traducción: Profesor muy bueno.  Ayudante y comprensible. Notas bien organizadas. Uno de los pocos profesores que realmente quiere ver que cada estudiante tenga éxito.  Muy refrescante en comparación con los profesores y tutores que sienten que su propósito es ser un peón.,good
"El trabajo de Graves es genial de escuchar y como profesor, hace que los exámenes sean cortos y sencillos. También calcula tu calificación para darte la mejor calificación final posible.",good
"Recibí microeconomía. Él no se preocupa por la asistencia o la lectura de libros. Casi todo depende del examen. Si sabes el material, no es un examen muy difícil. Pero necesitas aprender todo lo que habla. Sus exámenes cubren todo.",good
"Estudia los exámenes antiguos y revisa el libro. Y no te dejes engañar con la idea de que está tratando de engañarte con sus preguntas - elige la respuesta más obvia (normalmente E). Las preguntas son todas muy similares, cada semestre.",good
"Profesor muy interesante, divertido a veces. Utiliza muchos ejemplos del mundo real interesantes. Los exámenes son más difíciles de lo que esperas, pero leer el libro que escribió es muy útil.",good
"Probablemente un profesor muy divertido. Ama sus opiniones, algunas son ofensivas, pero me parece gracioso. Si te ayuda con el trabajo, se pone realmente emocionado, ama hablar de lo que sepa. Perdió muchos cursos. Tomó notas pequeñas. estudió exámenes de midterm antiguos. básicamente te dice qué preguntas se harán, pero cambia las palabras para engañarte.",good
Profesor genial. Realmente divertido.,good
Microeconomía- El hombre sabe perfectamente lo que sabe. Es un curso difícil pero usa ejemplos interesantes y introduce conceptos relevantes para todos. El curso es difícil si la economía no te interesa. ¡No puedo esperar a que le tome el curso de economía ambiental con él!,good
"Es muy útil y conoce mucha materia. Si tienes un interés real en economía, toma su clase.",good
"El Grave es una persona fantástica. He ido a muchas de sus horas de oficina y he tenido algunos reuniones individuales con él, y no he podido decir nada malo sobre él como persona. Por otro lado, su clase es muy larga, las lecciones son aburridas y difíciles de mantener el foco. La tarea y las pruebas no son nada difíciles, pero las pruebas son imposibles!!!!",low
"Aunque sus clases son muy grandes, hace un esfuerzo por asegurarse de que explica las cosas de una manera que la mayoría de los estudiantes puedan entender. Su horario de oficina es útil. En los exámenes, siempre y cuando hayas hecho la tarea y tomado apuntes, harás bien. Él formula sus preguntas un poco confusas, pero son relativamente fáciles.",good
"Aunque es un chico muy agradable y divertido, sin embargo, sus clases son aburridas y a lo largo del semestre muchos estudiantes se detienen al no ser obligatorias. Las tareas en línea son desafiantes, pero mientras lee el libro y asiste a las recitaciones, el curso es relativamente fácil.",low
"Las clases son muy largas y fáciles de aburrir, pero no son obligatorias. Mientras leas a través del libro, sus apuntes en línea y estudies con pruebas de práctica, harás bien. Chico gracioso, muy relajado.",good
"Phil es un tipo bastante guay, pero realmente necesitas el libro para que funcione bien. Yo casi dependí en él todo el semestre porque sus clases pueden ser largas y aburridas, y mi técnico casi no hablaba inglés. Leí el libro, hice los trabajos y estudié y aún pude pasar con una A.",good
"Phil es un legendario. Sus clases son impecables y mantiene a la gente enganchada toda la clase. A menudo se queda atrás y se distrae fácilmente, pero es gracioso. Además, es un curso de economía de nivel introductorio, podrías tener un mono enseñar y aprender lo mismo de un profesor que lleva más de una década enseñando. Phil Graves es definitivamente una obligación de tomar.",good
"Estoy a punto de terminar la microeconomía con Graves y hasta ahora ha sido bastante fácil. Asistí a un total de cuatro clases (2 de las cuales fueron los exámenes), y tengo una A en el curso. Mientras leas el libro y vayas a la revisión, estarás bien. Los exámenes pueden ser complicados para muchas personas, pero él los curva al extremo.",good
"Tal vez sea que sea un poco sesgado porque este material llega a mí de manera fácil, pero pensé que él hizo un excelente trabajo enseñando el curso. Mi consejo sería que no te pierdas clase. Hay muchas anécdotas que pensé que mantenían el curso de su lugar. Creo que voy a intentar estudiar economía porque del curso.",good
"Probablemente la mayoría de la gente va a calificarlo mal, pero creo que su clase fue genial. Al menos él es entretenido. Sus clases no fueron buenas, pero si puedes prestar atención, aprenderás.",good
"Las personas se quejan de los tests, pero si eres de esas personas que se gusta saber exactamente lo que hay en el test y simplemente tienes que memorizarlo, los tests no son malos. Además, es una clase entretenida.",good
"La clase fue realmente divertida y interesante, pero los exámenes eran ridículos, con muchísima memorización. Tomé la clase solo como un elective, pero al final la bajó mi GPA. Depende de cuánto esfuerzo estés dispuesto a poner en ello.",low
Ella es genial y muy entretenida.,good
"La clase es bastante interesante y presentada en PowerPoint, lo cual facilita la toma de notas. Sin embargo, los exámenes son malos. Son tan largos, loooooonnnnnn. Pero al menos las ensayos están escritos en un formato más corto.",low
"Patti fue una de las mejores profesoras que tuve en la universidad. Ella es hilarante... a veces me río con ella, a veces me río a ella. Su clase te mantiene despierto. Un día pasamos la mayor parte de la hora hablando de feticicios sexuales desviación. Y tienes que amar que los ayudantes de clase se vistan como prostitutas. Patti arrasa!",very_critical
"Inenseñante interesante, puedes decir que ha estado en drogas en el pasado, gracias a Dios que este clase tiene un resumen o todos estaríamos en problemas graves, me gustó la clase, pero no pienso querer tenerla como profesora de nuevo.",very_critical
"La Dra. Adler como profesor/a es divertida, compasiva, inteligente y conoce el material. Es una increíble socióloga. Depende demasiado de los tutores y recitación en ocasiones. Tomé este curso hace años y los exámenes eran pura memorización de definiciones. Fácil, solo si puedes memorizar cosas. Todavía cito conceptos aprendidos en clase en la vida cotidiana.",good
"¡Halírio! Fuera de control, pero tan divertido. A veces va más rápido sobre el material, pero es la mejor prof accesible en una gran clase como esta. Creo que es buena - quiero ser amigo de ella!",good
"La clase fue genial. La mejor clase que he tomado en CU hasta ahora. Sin embargo, los exámenes son difíciles, pero vale সাম্প্রদায়িক la pena. Profesor/a excelente. Tiene mucha experiencia en lo que enseña. Historias divertidas.",good
"Esta clase es una de las más interesantes que he tomado... profesor genial, un poco loco, pero mantiene a la gente interesada. La única desventaja es que los tests son un poco difíciles y hay que memorizar mucho... ¡TOMA ESTA CLASE!",good
,
El profesor llegó a la clase de las 8 AM oliendo fuertemente a alcohol y apenas podía articular las palabras. Fue una falta de respeto total para todos los presentes.,very_critical
Me envió correos a las 2 de la mañana pidiéndome que nos viéramos en un bar fuera del campus para 'discutir mi nota'. Me hizo sentir extremadamente incómoda y vulnerable.,very_critical
"Hizo comentarios abiertamente racistas sobre los estudiantes de intercambio, diciendo que 'bajaban el nivel académico' de la universidad porque en sus países no enseñaban bien. Indignante.",very_critical
"Cuando un estudiante le cuestionó una calificación, el profesor enloqueció, tiró un borrador contra la pared a centímetros de la cara del compañero y lo amenazó a gritos.",very_critical
"Nos exigió comprar su libro autoeditado en efectivo directamente a él, y nos advirtió que quien no le trajera el dinero perdía automáticamente el 30% de la nota del semestre.",very_critical
"Hace comentarios inapropiados sobre el cuerpo de las alumnas durante las exposiciones. Es repugnante, nos mira de arriba a abajo y la universidad aún no hace nada al respecto.",very_critical
"En medio del examen final sacó una petaca de su chaqueta y empezó a beber. Su comportamiento se volvió errático, asustó a varios compañeros y luego se quedó dormido.",very_critical
"Se burló repetidamente del acento de un compañero internacional frente a toda el aula, imitando su forma de hablar hasta hacerlo salir del salón. Es un ser humano despreciable.",very_critical
"Me tocó la pierna 'accidentalmente' y me acarició el hombro mientras me revisaba un trabajo en el escritorio. Nunca más volví a sentarme en primera fila, me da pánico estar cerca de él.",very_critical
"Es un secreto a voces que si le pagas cierta cantidad de dinero al final del semestre, él entra al sistema y te cambia la nota reprobatoria. Una completa vergüenza para la institución.",very_critical
Nos encerró con llave en el salón porque un grupo estaba hablando atrás. Dijo que nadie iba a salir y empezó a golpear violentamente su escritorio. Sentimos mucho miedo por nuestra seguridad.,very_critical
"Me sugirió muy directamente que, si quería pasar la materia y no perder la beca, podíamos llegar a un 'acuerdo privado y cariñoso' en su oficina a puerta cerrada. Fui directo a denunciarlo.",very_critical
Dijo textualmente en clase que las personas de ciertas nacionalidades 'solo servían para limpiar pisos' y no para la ingeniería. ¿Cómo permiten que un individuo con ese nivel de xenofobia dé clases?,very_critical
"Me gritó en la cara de manera muy agresiva, acorralándome contra la pizarra y levantando el puño cuando simplemente le pedí que me explicara por qué me había anulado el parcial.",very_critical
"Se notaba que estaba bajo el efecto de alguna sustancia fuerte. Empezó a sudar frío, a decir incoherencias, pateó una silla y salió corriendo del salón a la mitad de la clase.",very_critical
Me pidió que le hiciera una 'transferencia bancaria a título personal' para dejarme presentar el examen supletorio que había perdido por enfermedad. No puedo creer este nivel de corrupción.,very_critical
"Claramente tiene favoritismo por las chicas, pero el problema es que les hace bromas de doble sentido y sugerencias sexuales que cruzan por completo la línea de la decencia y el acoso.",very_critical
Amenazó con 'destruir nuestras carreras y asegurarse de que nunca consigamos trabajo' si alguien del grupo se quejaba de sus métodos de evaluación ante la decanatura. Tiene actitudes de matón de la mafia.,very_critical
Se negó a responder mi duda técnica diciéndome en voz alta que 'en mi país de origen seguro no hay internet para aprender estas cosas'. Su nivel de discriminación es absolutamente intolerable.,very_critical
"El profesor me siguió hasta el estacionamiento después de clase para insistirme en que saliera con él, a pesar de que le dije que no en el salón. Tuve que pedirle a seguridad que me acompañara a mi auto.",very_critical

"Es increíblemente arrogante. Cuando le hice una pregunta sobre el temario, se rió en mi cara frente a todo el auditorio y me dijo que si no sabía eso, mejor me cambiara de carrera.","critical"
"Tiene un problema de control de ira muy grave. Ayer el proyector no funcionaba y empezó a gritarnos a todos como si fuera nuestra culpa, insultando a la universidad de paso.","critical"
"Su método para 'motivar' es humillar. Lee en voz alta las peores notas de los exámenes y hace comentarios sarcásticos sobre la inteligencia de esos compañeros. Pésima actitud.","critical"
"Nos llama 'generación de cristal' y 'mediocres' en cada clase. Se la pasa menospreciando nuestro esfuerzo y diciendo que somos el peor grupo que ha tenido en su vida.","critical"
"Si le pides que repita algo, te voltea los ojos, suspira exageradamente y te responde de la forma más condescendiente posible. Te hace sentir estúpido por querer aprender.","critical"
